target_subject,trial_index,window_id,teacher_action_idx,teacher_action_name,window_oracle_action_idx,window_oracle_action_name,y_true,best_single_pred,trialized_oracle_pred,window_oracle_pred
1,29,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,2,0,2,2
1,30,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,0,0,0,0
1,31,1,5,P2_diag_scaling_a067,3,P1_mean_shift_a100,1,1,1,1
1,32,2,3,P1_mean_shift_a100,0,A0_identity,0,0,0,0
1,33,2,3,P1_mean_shift_a100,0,A0_identity,1,1,1,1
1,34,2,3,P1_mean_shift_a100,0,A0_identity,1,1,1,1
1,35,2,3,P1_mean_shift_a100,0,A0_identity,0,0,0,0
1,36,2,3,P1_mean_shift_a100,0,A0_identity,1,1,1,1
1,37,2,3,P1_mean_shift_a100,0,A0_identity,2,3,2,2
1,38,2,3,P1_mean_shift_a100,0,A0_identity,1,0,0,0
1,39,2,3,P1_mean_shift_a100,0,A0_identity,2,0,0,0
1,40,2,3,P1_mean_shift_a100,0,A0_identity,2,2,1,2
1,41,2,3,P1_mean_shift_a100,0,A0_identity,3,3,2,2
1,42,2,3,P1_mean_shift_a100,0,A0_identity,2,3,1,2
1,43,2,3,P1_mean_shift_a100,0,A0_identity,2,0,2,2
1,44,2,3,P1_mean_shift_a100,0,A0_identity,3,0,2,2
1,45,2,3,P1_mean_shift_a100,0,A0_identity,3,0,0,0
1,46,2,3,P1_mean_shift_a100,0,A0_identity,3,2,2,2
1,47,2,3,P1_mean_shift_a100,0,A0_identity,3,3,2,2
1,48,3,0,A0_identity,6,P2_diag_scaling_a100,3,3,2,3
1,49,3,0,A0_identity,6,P2_diag_scaling_a100,2,2,2,2
1,50,3,0,A0_identity,6,P2_diag_scaling_a100,1,1,1,1
1,51,3,0,A0_identity,6,P2_diag_scaling_a100,0,1,2,1
1,52,3,0,A0_identity,6,P2_diag_scaling_a100,0,0,0,0
1,53,3,0,A0_identity,6,P2_diag_scaling_a100,1,0,0,0
1,54,3,0,A0_identity,6,P2_diag_scaling_a100,2,2,2,2
1,55,3,0,A0_identity,6,P2_diag_scaling_a100,3,2,2,2
1,56,3,0,A0_identity,6,P2_diag_scaling_a100,1,1,1,1
1,57,3,0,A0_identity,6,P2_diag_scaling_a100,2,2,2,2
1,58,3,0,A0_identity,6,P2_diag_scaling_a100,0,3,1,3
1,59,3,0,A0_identity,6,P2_diag_scaling_a100,0,0,2,0
1,60,3,0,A0_identity,6,P2_diag_scaling_a100,0,1,1,1
1,61,3,0,A0_identity,6,P2_diag_scaling_a100,3,3,2,3
1,62,3,0,A0_identity,6,P2_diag_scaling_a100,1,1,1,1
1,63,3,0,A0_identity,6,P2_diag_scaling_a100,1,1,1,1
1,64,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,0,0,0,0
1,65,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,0,0,0,0
1,66,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,2,2,2
1,67,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,0,0,0,0
1,68,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,0,0,0
1,69,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,1,1,1
1,70,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,2,2,2
1,71,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,2,2,2
1,72,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,0,0,0,0
1,73,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,3,3,3
1,74,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,3,3,3
1,75,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,0,0,0
1,76,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,3,3,3
1,77,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,1,1,1
1,78,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,0,0,0
1,79,4,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,0,0,0,0
1,80,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,1,1,1
1,81,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,2,2,2
1,82,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,2,2,2
1,83,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,2,2,2
1,84,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,3,3,3
1,85,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,2,2,2
1,86,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,0,0,0,0
1,87,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,3,3,3
1,88,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,0,0,0
1,89,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,2,2,2
1,90,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,1,1,1
1,91,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,3,3,3
1,92,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,2,2,2
1,93,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,1,1,1
1,94,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,2,2,2
1,95,5,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,0,0,0,0
1,96,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,0,0,0,0
1,97,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,0,0,0,0
1,98,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,3,2,2,2
1,99,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,1,0,0,0
1,100,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,0,0,0,0
1,101,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,2,3,3,1
1,102,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,0,0,0,0
1,103,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,2,3,3,2
1,104,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,1,1,1,1
1,105,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,3,2,2,2
1,106,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,0,0,0,0
1,107,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,2,3,3,2
1,108,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,2,1,1,1
1,109,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,0,0,0,0
1,110,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,2,2,2,2
1,111,6,6,P2_diag_scaling_a100,1,P1_mean_shift_a033,1,1,1,1
1,112,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,3,3,2,3
1,113,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,3,3,2,3
1,114,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,3,2,2,2
1,115,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,2,2,2,2
1,116,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,0,0,0,0
1,117,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,3,2,2,2
1,118,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,1,1,1,1
1,119,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,3,3,2,3
1,120,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,1,1,1,1
1,121,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,0,2,2,2
1,122,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,2,2,2,2
1,123,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,1,1,1,1
1,124,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,0,0,1,0
1,125,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,2,2,2,2
1,126,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,2,3,2,3
1,127,7,1,P1_mean_shift_a033,6,P2_diag_scaling_a100,0,0,0,0
1,128,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,1,1,1
1,129,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,3,3,3
1,130,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,3,3,3
1,131,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,1,1,1
1,132,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,0,0,0,0
1,133,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,1,1,1
1,134,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,3,3,3
1,135,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,1,1,1
1,136,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,2,2,2
1,137,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,3,3,3
1,138,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,1,1,1
1,139,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,0,0,0
1,140,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,1,1,1,1
1,141,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,2,2,2,2
1,142,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,3,2,2,2
1,143,8,6,P2_diag_scaling_a100,6,P2_diag_scaling_a100,0,0,0,0
1,144,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,1,0,0,0
1,145,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,3,2,2,2
1,146,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,0,0,0,0
1,147,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,2,2,2,2
1,148,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,2,3,3,2
1,149,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,3,2,2,2
1,150,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,0,0,0,0
1,151,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,0,0,0,0
1,152,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,2,2,2,2
1,153,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,1,0,0,1
1,154,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,3,2,2,2
1,155,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,3,2,2,2
1,156,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,3,2,2,2
1,157,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,1,0,0,1
1,158,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,0,0,0,0
1,159,9,6,P2_diag_scaling_a100,9,P3_low_rank_affine_a100,2,2,2,2
1,160,10,9,P3_low_rank_affine_a100,0,A0_identity,1,1,1,1
1,161,10,9,P3_low_rank_affine_a100,0,A0_identity,3,2,2,2
1,162,10,9,P3_low_rank_affine_a100,0,A0_identity,0,0,0,0
1,163,10,9,P3_low_rank_affine_a100,0,A0_identity,3,1,2,2
1,164,10,9,P3_low_rank_affine_a100,0,A0_identity,2,2,2,2
1,165,10,9,P3_low_rank_affine_a100,0,A0_identity,1,1,1,1
1,166,10,9,P3_low_rank_affine_a100,0,A0_identity,3,0,2,2
1,167,10,9,P3_low_rank_affine_a100,0,A0_identity,3,3,2,2
1,168,10,9,P3_low_rank_affine_a100,0,A0_identity,0,0,0,0
1,169,10,9,P3_low_rank_affine_a100,0,A0_identity,1,1,1,1
1,170,10,9,P3_low_rank_affine_a100,0,A0_identity,1,1,1,1
1,171,10,9,P3_low_rank_affine_a100,0,A0_identity,2,2,2,2
1,172,10,9,P3_low_rank_affine_a100,0,A0_identity,3,3,2,2
1,173,10,9,P3_low_rank_affine_a100,0,A0_identity,1,1,1,1
1,174,10,9,P3_low_rank_affine_a100,0,A0_identity,0,3,0,0
1,175,10,9,P3_low_rank_affine_a100,0,A0_identity,0,3,2,0
1,176,11,0,A0_identity,0,A0_identity,3,2,2,2
1,177,11,0,A0_identity,0,A0_identity,1,1,1,1
1,178,11,0,A0_identity,0,A0_identity,0,0,0,0
1,179,11,0,A0_identity,0,A0_identity,2,2,2,2
1,180,11,0,A0_identity,0,A0_identity,1,0,0,0
1,181,11,0,A0_identity,0,A0_identity,1,1,1,1
1,182,11,0,A0_identity,0,A0_identity,2,3,2,2
1,183,11,0,A0_identity,0,A0_identity,0,0,0,0
1,184,11,0,A0_identity,0,A0_identity,3,2,2,2
1,185,11,0,A0_identity,0,A0_identity,2,2,2,2
1,186,11,0,A0_identity,0,A0_identity,2,2,2,2
1,187,11,0,A0_identity,0,A0_identity,2,3,2,2
1,188,11,0,A0_identity,0,A0_identity,2,2,2,2
1,189,11,0,A0_identity,0,A0_identity,0,0,0,0
1,190,11,0,A0_identity,0,A0_identity,1,1,1,1
1,191,11,0,A0_identity,0,A0_identity,0,0,0,0
1,192,12,0,A0_identity,4,P2_diag_scaling_a033,1,1,1,1
1,193,12,0,A0_identity,4,P2_diag_scaling_a033,0,3,1,1
1,194,12,0,A0_identity,4,P2_diag_scaling_a033,0,0,0,0
1,195,12,0,A0_identity,4,P2_diag_scaling_a033,2,3,2,2
1,196,12,0,A0_identity,4,P2_diag_scaling_a033,2,0,2,2
1,197,12,0,A0_identity,4,P2_diag_scaling_a033,1,1,1,1
1,198,12,0,A0_identity,4,P2_diag_scaling_a033,2,3,2,2
1,199,12,0,A0_identity,4,P2_diag_scaling_a033,3,2,2,2
1,200,12,0,A0_identity,4,P2_diag_scaling_a033,0,0,0,0
1,201,12,0,A0_identity,4,P2_diag_scaling_a033,3,3,2,2
1,202,12,0,A0_identity,4,P2_diag_scaling_a033,0,0,0,0
1,203,12,0,A0_identity,4,P2_diag_scaling_a033,0,3,2,0
1,204,12,0,A0_identity,4,P2_diag_scaling_a033,1,1,1,1
1,205,12,0,A0_identity,4,P2_diag_scaling_a033,3,0,2,2
1,206,12,0,A0_identity,4,P2_diag_scaling_a033,2,2,2,2
1,207,12,0,A0_identity,4,P2_diag_scaling_a033,1,1,1,1
1,208,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,3,2,2,2
1,209,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,2,0,0,2
1,210,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,3,2,2,2
1,211,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,2,3,1,1
1,212,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,3,2,2,2
1,213,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,1,0,0,0
1,214,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,1,1,1,1
1,215,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,3,2,2,2
1,216,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,0,0,0,0
1,217,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,1,1,1,1
1,218,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,1,1,1,1
1,219,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,1,1,1,1
1,220,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,2,2,2,2
1,221,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,3,2,2,2
1,222,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,0,0,0,0
1,223,13,4,P2_diag_scaling_a033,7,P3_low_rank_affine_a033,3,2,2,2
1,224,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,0,0,0,0
1,225,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,2,1,1,1
1,226,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,0,0,1,0
1,227,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,3,2,2,2
1,228,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,0,0,0,0
1,229,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,2,3,2,2
1,230,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,0,0,0,0
1,231,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,1,1,1,1
1,232,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,2,2,2,2
1,233,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,2,3,2,2
1,234,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,3,1,1,1
1,235,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,0,0,0,0
1,236,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,1,1,1,1
1,237,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,3,2,2,2
1,238,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,1,0,0,0
1,239,14,7,P3_low_rank_affine_a033,3,P1_mean_shift_a100,2,3,2,2
1,240,15,3,P1_mean_shift_a100,0,A0_identity,2,2,2,2
1,241,15,3,P1_mean_shift_a100,0,A0_identity,0,0,0,0
1,242,15,3,P1_mean_shift_a100,0,A0_identity,3,1,1,1
1,243,15,3,P1_mean_shift_a100,0,A0_identity,1,0,0,1
1,244,15,3,P1_mean_shift_a100,0,A0_identity,3,3,1,1
1,245,15,3,P1_mean_shift_a100,0,A0_identity,0,1,1,1
1,246,15,3,P1_mean_shift_a100,0,A0_identity,0,0,0,0
1,247,15,3,P1_mean_shift_a100,0,A0_identity,2,2,2,2
1,248,15,3,P1_mean_shift_a100,0,A0_identity,2,2,2,2
1,249,15,3,P1_mean_shift_a100,0,A0_identity,1,0,0,0
1,250,15,3,P1_mean_shift_a100,0,A0_identity,3,2,2,2
1,251,15,3,P1_mean_shift_a100,0,A0_identity,1,0,0,1
1,252,15,3,P1_mean_shift_a100,0,A0_identity,1,3,0,2
1,253,15,3,P1_mean_shift_a100,0,A0_identity,0,0,0,0
1,254,15,3,P1_mean_shift_a100,0,A0_identity,1,0,0,0
1,255,15,3,P1_mean_shift_a100,0,A0_identity,3,2,2,2
1,256,16,0,A0_identity,6,P2_diag_scaling_a100,3,2,2,2
1,257,16,0,A0_identity,6,P2_diag_scaling_a100,1,0,0,0
1,258,16,0,A0_identity,6,P2_diag_scaling_a100,1,0,0,0
1,259,16,0,A0_identity,6,P2_diag_scaling_a100,1,0,0,0
1,260,16,0,A0_identity,6,P2_diag_scaling_a100,1,1,1,1
1,261,16,0,A0_identity,6,P2_diag_scaling_a100,3,2,2,2
1,262,16,0,A0_identity,6,P2_diag_scaling_a100,3,3,2,3
1,263,16,0,A0_identity,6,P2_diag_scaling_a100,2,2,2,2
1,264,16,0,A0_identity,6,P2_diag_scaling_a100,3,3,2,3
1,265,16,0,A0_identity,6,P2_diag_scaling_a100,0,0,0,0
1,266,16,0,A0_identity,6,P2_diag_scaling_a100,1,1,1,1
1,267,16,0,A0_identity,6,P2_diag_scaling_a100,2,2,2,2
1,268,16,0,A0_identity,6,P2_diag_scaling_a100,1,0,0,0
1,269,16,0,A0_identity,6,P2_diag_scaling_a100,0,0,0,0
1,270,16,0,A0_identity,6,P2_diag_scaling_a100,3,3,1,3
1,271,16,0,A0_identity,6,P2_diag_scaling_a100,0,0,0,0
1,272,17,6,P2_diag_scaling_a100,0,A0_identity,3,3,3,2
1,273,17,6,P2_diag_scaling_a100,0,A0_identity,0,1,1,1
1,274,17,6,P2_diag_scaling_a100,0,A0_identity,0,0,0,0
1,275,17,6,P2_diag_scaling_a100,0,A0_identity,0,0,0,0
1,276,17,6,P2_diag_scaling_a100,0,A0_identity,0,0,0,0
1,277,17,6,P2_diag_scaling_a100,0,A0_identity,2,2,2,2
1,278,17,6,P2_diag_scaling_a100,0,A0_identity,2,2,2,2
1,279,17,6,P2_diag_scaling_a100,0,A0_identity,3,2,2,1
1,280,17,6,P2_diag_scaling_a100,0,A0_identity,1,0,0,0
1,281,17,6,P2_diag_scaling_a100,0,A0_identity,2,2,2,2
1,282,17,6,P2_diag_scaling_a100,0,A0_identity,2,2,2,2
1,283,17,6,P2_diag_scaling_a100,0,A0_identity,2,2,2,2
1,284,17,6,P2_diag_scaling_a100,0,A0_identity,3,2,2,2
1,285,17,6,P2_diag_scaling_a100,0,A0_identity,2,2,2,2
1,286,17,6,P2_diag_scaling_a100,0,A0_identity,0,0,0,0
1,287,17,6,P2_diag_scaling_a100,0,A0_identity,2,3,3,2
2,0,0,0,A0_identity,12,P4_supervised_subspace_a100,0,1,1,1
2,1,0,0,A0_identity,12,P4_supervised_subspace_a100,1,2,0,0
2,2,0,0,A0_identity,12,P4_supervised_subspace_a100,1,2,2,1
2,3,0,0,A0_identity,12,P4_supervised_subspace_a100,0,2,2,2
2,4,0,0,A0_identity,12,P4_supervised_subspace_a100,1,2,2,0
2,5,0,0,A0_identity,12,P4_supervised_subspace_a100,0,0,0,0
2,6,0,0,A0_identity,12,P4_supervised_subspace_a100,1,0,1,1
2,7,0,0,A0_identity,12,P4_supervised_subspace_a100,2,3,1,2
2,8,0,0,A0_identity,12,P4_supervised_subspace_a100,1,2,0,0
2,9,0,0,A0_identity,12,P4_supervised_subspace_a100,3,2,2,2
2,10,0,0,A0_identity,12,P4_supervised_subspace_a100,0,3,2,1
2,11,0,0,A0_identity,12,P4_supervised_subspace_a100,2,1,1,1
2,12,0,0,A0_identity,12,P4_supervised_subspace_a100,1,2,2,2
2,13,0,0,A0_identity,12,P4_supervised_subspace_a100,0,1,2,1
2,14,0,0,A0_identity,12,P4_supervised_subspace_a100,3,0,2,2
2,15,0,0,A0_identity,12,P4_supervised_subspace_a100,3,3,0,0
2,16,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,3,2,2,2
2,17,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,3,3,1,3
2,18,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,3,3,1,3
2,19,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,0,1,1,1
2,20,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,2,3,1,3
2,21,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,1,3,1,3
2,22,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,0,0,0,0
2,23,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,0,2,2,2
2,24,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,2,0,1,0
2,25,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,3,0,2,0
2,26,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,0,0,1,0
2,27,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,2,3,1,3
2,28,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,2,0,1,0
2,29,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,2,2,2,2
2,30,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,0,2,1,2
2,31,1,12,P4_supervised_subspace_a100,6,P2_diag_scaling_a100,1,2,0,2
2,32,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,0,2,2,2
2,33,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,1,2,2,2
2,34,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,1,2,2,2
2,35,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,0,3,3,3
2,36,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,1,0,0,0
2,37,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,2,1,1,2
2,38,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,1,0,0,0
2,39,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,2,3,3,3
2,40,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,2,0,0,2
2,41,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,3,1,1,1
2,42,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,2,0,0,2
2,43,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,2,0,0,1
2,44,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,3,1,1,1
2,45,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,3,0,0,0
2,46,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,3,1,1,2
2,47,2,6,P2_diag_scaling_a100,8,P3_low_rank_affine_a067,3,0,0,0
2,48,3,8,P3_low_rank_affine_a067,10,P4_supervised_subspace_a033,3,3,0,0
2,49,3,8,P3_low_rank_affine_a067,10,P4_supervised_subspace_a033,2,1,2,0
2,50,3,8,P3_low_rank_affine_a067,10,P4_supervised_subspace_a033,1,2,2,0
2,51,3,8,P3_low_rank_affine_a067,10,P4_supervised_subspace_a033,0,0,0,0
2,52,3,8,P3_low_rank_affine_a067,10,P4_supervised_subspace_a033,0,1,2,0
